DateTime,CycleCounter,MaxWeldForce,WeldAbsolute,TriggerDistance,WeldTime,WeldPeakPower,CycleTime,AnomalyScore
24-Nov-2021 10:51:22,208344,36,38023,37832,786,287,1967,6
24-Nov-2021 10:51:26,208345,36,38070,37876,797,273,1981,6
24-Nov-2021 10:51:33,208346,36,38041,37851,792,283,1974,6
24-Nov-2021 10:51:37,208347,36,38030,37856,800,283,1984,6
24-Nov-2021 10:51:42,208348,37,37997,37817,800,291,1981,6
24-Nov-2021 10:51:46,208349,36,37984,37804,794,280,1973,6
24-Nov-2021 10:51:50,208350,36,38006,37813,799,293,1979,6
24-Nov-2021 10:51:54,208351,36,38025,37840,804,291,1986,6
24-Nov-2021 10:52:01,208352,36,38027,37839,799,285,1981,6
24-Nov-2021 10:52:06,208353,36,38036,37853,804,287,1986,6
24-Nov-2021 10:52:10,208354,36,38002,37834,799,282,1980,6
24-Nov-2021 10:52:14,208355,36,38004,37830,805,278,1986,6
24-Nov-2021 10:52:18,208356,37,38023,37841,792,294,1975,6
24-Nov-2021 10:52:22,208357,36,38045,37861,805,271,1989,6
24-Nov-2021 10:52:29,208358,36,38024,37835,801,285,1983,6
24-Nov-2021 10:52:33,208359,36,38017,37835,804,277,1986,6
24-Nov-2021 10:52:37,208360,36,37983,37806,809,278,1990,6
24-Nov-2021 10:52:42,208361,36,38011,37811,780,287,1961,6
24-Nov-2021 10:52:46,208362,36,38014,37833,804,285,1985,6
24-Nov-2021 10:52:50,208363,37,38027,37841,803,294,1984,6
24-Nov-2021 10:52:57,208364,36,38048,37848,793,287,1973,6
24-Nov-2021 10:53:01,208365,36,38049,37852,797,294,1981,6
24-Nov-2021 10:53:05,208366,36,38012,37819,792,285,1971,6
24-Nov-2021 10:53:10,208367,36,37993,37810,800,278,1978,6
24-Nov-2021 10:53:14,208368,36,38008,37818,796,283,1975,6
24-Nov-2021 10:53:18,208369,36,38021,37837,807,288,1989,6
24-Nov-2021 10:53:25,208370,36,38016,37836,804,296,1984,6
24-Nov-2021 10:54:12,208371,35,38017,37842,808,285,1989,6
24-Nov-2021 10:54:20,208372,36,38003,37819,788,289,1969,6
24-Nov-2021 10:55:04,208373,36,38002,37821,793,283,1973,6
24-Nov-2021 10:55:08,208374,36,38022,37846,805,280,1983,6
24-Nov-2021 10:55:12,208375,37,38045,37867,801,297,1986,6
24-Nov-2021 10:55:22,208376,36,38016,37841,797,297,1977,6
24-Nov-2021 10:55:27,208377,36,38009,37836,801,280,1984,6
24-Nov-2021 10:55:31,208378,36,37988,37804,789,294,1969,6
24-Nov-2021 10:55:35,208379,37,37984,37803,801,291,1981,6
24-Nov-2021 10:55:39,208380,36,38014,37832,804,283,1986,6
24-Nov-2021 10:55:43,208381,36,38049,37855,798,288,1980,6
24-Nov-2021 10:55:51,208382,36,38050,37862,793,282,1977,6
24-Nov-2021 10:55:55,208383,37,38038,37853,811,277,1994,6
24-Nov-2021 10:55:59,208384,36,38016,37830,806,289,1987,6
24-Nov-2021 10:56:03,208385,36,38010,37820,807,289,1986,6
24-Nov-2021 10:56:07,208386,36,38013,37818,791,288,1971,6
24-Nov-2021 10:56:11,208387,35,38013,37824,786,288,1965,6
24-Nov-2021 11:09:58,208388,37,37995,37822,810,277,1991,6
24-Nov-2021 11:10:02,208389,35,37976,37800,793,291,1971,6
24-Nov-2021 11:10:06,208390,36,37981,37822,799,288,1980,6
24-Nov-2021 11:10:10,208391,36,38017,37829,797,297,1977,6
24-Nov-2021 11:10:14,208392,35,38049,37861,797,280,1979,6
24-Nov-2021 11:13:41,208393,36,38035,37860,807,289,1990,6
24-Nov-2021 11:13:53,208394,36,38034,37837,779,293,1961,6
24-Nov-2021 11:14:04,208395,35,37979,37804,802,293,1982,6
24-Nov-2021 11:14:08,208396,35,37985,37804,805,289,1986,6
24-Nov-2021 11:14:12,208397,36,38012,37836,793,285,1975,6
24-Nov-2021 11:14:16,208398,36,38058,37866,801,283,1983,6
24-Nov-2021 11:14:20,208399,37,38043,37854,798,288,1980,6
24-Nov-2021 11:14:24,208400,35,38040,37849,804,293,1984,6
24-Nov-2021 11:14:32,208401,37,38013,37830,788,283,1969,6
